query-id	corpus-id	score
PLAIN-3	MED-2436	3
PLAIN-3	MED-2437	3
PLAIN-3	MED-2438	3
PLAIN-3	MED-2439	3
PLAIN-3	MED-2440	3
PLAIN-3	MED-2427	2
PLAIN-3	MED-2428	2
PLAIN-3	MED-2429	2
PLAIN-3	MED-2430	2
PLAIN-3	MED-2431	2
PLAIN-3	MED-2432	2
PLAIN-3	MED-2434	2
PLAIN-3	MED-2435	2
PLAIN-3	MED-3238	2
PLAIN-3	MED-3697	2
PLAIN-3	MED-3699	2
PLAIN-3	MED-3241	2
PLAIN-3	MED-3841	2
PLAIN-3	MED-3842	2
PLAIN-3	MED-3843	2
PLAIN-3	MED-3844	2
PLAIN-3	MED-3845	2
PLAIN-3	MED-3846	2
PLAIN-3	MED-3847	2
PLAIN-3	MED-3848	2
PLAIN-3	MED-3849	2
PLAIN-3	MED-3850	2
PLAIN-3	MED-4094	2
PLAIN-3	MED-3852	2
PLAIN-3	MED-3853	2
PLAIN-3	MED-3854	2
PLAIN-3	MED-3855	2
PLAIN-3	MED-3856	2
PLAIN-3	MED-3857	2
PLAIN-3	MED-4295	2
PLAIN-3	MED-4296	2
PLAIN-3	MED-4298	2
PLAIN-3	MED-4440	2
PLAIN-3	MED-4785	2
PLAIN-3	MED-4652	2
PLAIN-3	MED-4445	2
PLAIN-3	MED-4446	2
PLAIN-3	MED-4447	2
PLAIN-3	MED-4448	2
PLAIN-3	MED-5322	2
PLAIN-3	MED-5323	2
PLAIN-3	MED-5324	2
PLAIN-3	MED-5325	2
PLAIN-3	MED-5326	2
PLAIN-3	MED-5327	2
PLAIN-3	MED-5328	2
PLAIN-3	MED-5329	2
PLAIN-3	MED-5330	2
PLAIN-3	MED-5331	2
PLAIN-3	MED-5332	2
PLAIN-3	MED-5333	2
PLAIN-3	MED-5334	2
PLAIN-3	MED-5335	2
PLAIN-3	MED-5363	2
PLAIN-3	MED-5337	2
PLAIN-3	MED-5338	2
PLAIN-3	MED-5339	2
PLAIN-3	MED-5340	2
PLAIN-3	MED-5341	2
PLAIN-3	MED-5342	2
PLAIN-4	MED-2441	3
PLAIN-4	MED-2472	3
PLAIN-4	MED-2444	3
PLAIN-4	MED-5322	1
PLAIN-4	MED-5323	1
PLAIN-4	MED-5324	1
PLAIN-4	MED-5325	1
PLAIN-4	MED-5326	1
PLAIN-4	MED-5327	1
PLAIN-4	MED-5328	1
PLAIN-4	MED-5329	1
PLAIN-4	MED-5330	1
PLAIN-4	MED-5331	1
PLAIN-4	MED-5332	1
PLAIN-4	MED-5333	1
PLAIN-4	MED-5334	1
PLAIN-4	MED-5335	1
PLAIN-4	MED-5363	1
PLAIN-4	MED-5337	1
PLAIN-4	MED-5338	1
PLAIN-4	MED-5339	1
PLAIN-4	MED-5340	1
PLAIN-4	MED-5341	1
PLAIN-4	MED-5342	1
PLAIN-4	MED-2442	1
PLAIN-5	MED-2445	3
PLAIN-5	MED-2458	3
PLAIN-5	MED-2448	3
PLAIN-5	MED-2450	3
PLAIN-5	MED-2449	3
PLAIN-5	MED-2452	3
PLAIN-5	MED-2453	3
PLAIN-5	MED-2441	2
PLAIN-5	MED-2442	2
PLAIN-5	MED-2472	2
PLAIN-5	MED-2444	2
PLAIN-5	MED-2446	2
PLAIN-5	MED-2451	2
PLAIN-5	MED-2455	2
PLAIN-5	MED-2456	2
PLAIN-5	MED-5072	2
PLAIN-5	MED-2459	2
PLAIN-5	MED-2460	2
PLAIN-5	MED-2461	2
PLAIN-5	MED-4551	2
PLAIN-5	MED-2643	2
PLAIN-5	MED-2464	2
PLAIN-5	MED-2645	2
PLAIN-5	MED-2644	2
PLAIN-5	MED-2646	2
PLAIN-5	MED-2468	2
PLAIN-5	MED-2469	2
PLAIN-5	MED-2649	2
PLAIN-5	MED-2471	2
PLAIN-5	MED-2652	2
PLAIN-5	MED-2474	2
PLAIN-5	MED-2475	2
PLAIN-5	MED-2476	2
PLAIN-5	MED-2655	2
PLAIN-5	MED-2656	2
PLAIN-5	MED-2479	2
PLAIN-5	MED-2657	2
PLAIN-5	MED-2658	2
PLAIN-5	MED-2482	2
PLAIN-5	MED-2659	2
PLAIN-5	MED-2484	2
PLAIN-5	MED-2661	2
PLAIN-5	MED-2662	2
PLAIN-5	MED-3687	2
PLAIN-5	MED-2647	2
PLAIN-5	MED-2648	2
PLAIN-5	MED-2650	2
PLAIN-5	MED-2651	2
PLAIN-5	MED-2653	2
PLAIN-5	MED-2654	2
PLAIN-5	MED-2660	2
PLAIN-5	MED-2663	2
PLAIN-5	MED-2664	2
PLAIN-5	MED-2665	2
PLAIN-5	MED-4860	2
PLAIN-5	MED-2667	2
PLAIN-5	MED-2668	2
PLAIN-5	MED-2669	2
PLAIN-5	MED-2670	2
PLAIN-5	MED-4349	2
PLAIN-5	MED-4345	2
PLAIN-5	MED-4346	2
PLAIN-5	MED-5322	2
PLAIN-5	MED-5323	2
PLAIN-5	MED-5324	2
PLAIN-5	MED-5325	2
PLAIN-5	MED-5326	2
PLAIN-5	MED-5327	2
PLAIN-5	MED-5328	2
PLAIN-5	MED-5329	2
PLAIN-5	MED-5330	2
PLAIN-5	MED-5331	2
PLAIN-5	MED-5332	2
PLAIN-5	MED-5333	2
PLAIN-5	MED-5334	2
PLAIN-5	MED-5335	2
PLAIN-5	MED-5363	2
PLAIN-5	MED-5337	2
PLAIN-5	MED-5338	2
PLAIN-5	MED-5339	2
PLAIN-5	MED-5340	2
PLAIN-5	MED-5341	2
PLAIN-5	MED-5342	2
PLAIN-6	MED-2456	3
PLAIN-6	MED-2459	3
PLAIN-6	MED-2458	3
PLAIN-6	MED-5072	3
PLAIN-6	MED-2460	3
PLAIN-6	MED-2445	2
PLAIN-6	MED-2446	2
PLAIN-6	MED-2448	2
PLAIN-6	MED-2449	2
PLAIN-6	MED-2450	2
PLAIN-6	MED-2451	2
PLAIN-6	MED-2452	2
PLAIN-6	MED-2453	2
PLAIN-6	MED-2472	2
PLAIN-6	MED-2455	2
PLAIN-6	MED-2461	2
PLAIN-6	MED-4551	2
PLAIN-6	MED-2643	2
PLAIN-6	MED-2464	2
PLAIN-6	MED-2645	2
PLAIN-6	MED-2644	2
PLAIN-6	MED-2646	2
PLAIN-6	MED-2468	2
PLAIN-6	MED-2469	2
PLAIN-6	MED-2649	2
PLAIN-6	MED-2471	2
PLAIN-6	MED-2652	2
PLAIN-6	MED-2474	2
PLAIN-6	MED-2475	2
PLAIN-6	MED-2476	2
PLAIN-6	MED-2655	2
PLAIN-6	MED-2656	2
PLAIN-6	MED-2479	2
PLAIN-6	MED-2657	2
PLAIN-6	MED-2658	2
PLAIN-6	MED-2482	2
PLAIN-6	MED-2659	2
PLAIN-6	MED-2484	2
PLAIN-6	MED-2661	2
PLAIN-6	MED-2662	2
PLAIN-6	MED-3687	2
PLAIN-6	MED-5322	2
PLAIN-6	MED-5323	2
PLAIN-6	MED-5324	2
PLAIN-6	MED-5325	2
PLAIN-6	MED-5326	2
PLAIN-6	MED-5327	2
PLAIN-6	MED-5328	2
PLAIN-6	MED-5329	2
PLAIN-6	MED-5330	2
PLAIN-6	MED-5331	2
PLAIN-6	MED-5332	2
PLAIN-6	MED-5333	2
PLAIN-6	MED-5334	2
PLAIN-6	MED-5335	2
PLAIN-6	MED-5363	2
PLAIN-6	MED-5337	2
PLAIN-6	MED-5338	2
PLAIN-6	MED-5339	2
PLAIN-6	MED-5340	2
PLAIN-6	MED-5341	2
PLAIN-6	MED-5342	2
PLAIN-7	MED-2461	3
PLAIN-7	MED-2464	3
PLAIN-7	MED-2468	3
PLAIN-7	MED-2469	3
PLAIN-7	MED-2471	3
PLAIN-7	MED-2474	3
PLAIN-7	MED-2475	3
PLAIN-7	MED-2476	3
PLAIN-7	MED-2655	3
PLAIN-7	MED-2656	3
PLAIN-7	MED-2484	3
PLAIN-7	MED-2455	2
PLAIN-7	MED-2456	2
PLAIN-7	MED-5072	2
PLAIN-7	MED-2458	2
PLAIN-7	MED-2459	2
PLAIN-7	MED-2460	2
PLAIN-7	MED-4551	2
PLAIN-7	MED-2643	2
PLAIN-7	MED-2645	2
PLAIN-7	MED-2644	2
PLAIN-7	MED-2646	2
PLAIN-7	MED-2649	2
PLAIN-7	MED-2472	2
PLAIN-7	MED-2652	2
PLAIN-7	MED-2479	2
PLAIN-7	MED-2657	2
PLAIN-7	MED-2658	2
PLAIN-7	MED-2482	2
PLAIN-7	MED-2659	2
PLAIN-7	MED-2661	2
PLAIN-7	MED-2662	2
PLAIN-7	MED-3687	2
PLAIN-7	MED-2647	2
PLAIN-7	MED-2648	2
PLAIN-7	MED-2627	2
PLAIN-7	MED-2650	2
PLAIN-7	MED-2651	2
PLAIN-7	MED-2653	2
PLAIN-7	MED-2654	2
PLAIN-7	MED-2660	2
PLAIN-7	MED-3671	2
PLAIN-7	MED-3672	2
